Column,Row,Product/ internal Standard,Product
5,H,0,CCOC(=O)C1=C(COCCOC(=O)CCC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c2ccc([N+](=O)[O-])cc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
6,A,0.8551,CCOC(=O)C1=C(COCCOC(=O)c2ccccc2C)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
6,B,0.7278,CCOC(=O)C1=C(COCCOC(=O)c2ccco2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
6,C,0.7636,CCOC(=O)C1=C(COCCOC(=O)CC2CCCC2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
6,D,1.5907,CCOC(=O)C1=C(COCCOC(=O)CO)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
6,E,0.9835,CCOC(=O)C1=C(COCCOC(=O)[C@H](CCSC)NC(=O)OC(C)(C)C)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
6,F,0,CCOC(=O)C1=C(COCCOOC(=O)c2cccc(Cl)c2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
6,G,1.29665,CCOC(=O)C1=C(COCCOC(=O)[C@@H](C)c2cccc(C(=O)c3ccccc3)c2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
6,H,0,CCOC(=O)C1=C(COCCOC(=O)c2ccccc2-c2c3ccc(=O)cc-3oc3cc([O-])ccc23)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
7,A,1.3656,CCOC(=O)C1=C(COCCOC(=O)c2ccccc2[N+](=O)[O-])NC(C)=C(C(=O)OC)C1c1ccccc1Cl
7,B,0.60995,CCOC(=O)C1=C(COCCOC(=O)c2scnc2C)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
7,C,0.9193,CCOC(=O)C1=C(COCCOC(=O)C(c2ccccc2)c2ccccc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
7,D,0.2008,CCOC(=O)C1=C(COCCOC(=O)C23CC4CC(CC(C4)C2)C3)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
7,E,0.81395,CCOC(=O)C1=C(COCCOC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)OCc2ccccc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
7,F,0.28655,CCOC(=O)C1=C(COCCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
7,G,1.2337,CCOC(=O)C1=C(COCCOC(=O)C(C)(C)c2ccc(C(O)CCCN3CCC(C(O)(c4ccccc4)c4ccccc4)CC3)cc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
7,H,1.19405,CCOC(=O)C1=C(COCCOC(C)=O)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
8,A,0.7908,CCOC(=O)C1=C(COCCOC(=O)c2ccccc2C(C)=O)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
